[info]
Anlage=Kaco
Datum=120121
[messung]
;s;Adresse;KPC;U_DC_0;I_DC_0;P_DC_WR;U_AC_0;I_AC_0;P_AC_WR;T_WR;E_D_WR
;s;;%;V;A;W;V;A;W;°C;Wh
[Start]
07:15:00;900;5;;368.8;1.43;538;229.9;2.35;501;10;133
07:15:00;900;7;;356.3;0.59;211;230.2;1.03;192;10;48
07:15:00;900;8;;365.6;0.65;233;229.1;1.08;207;10;51
07:15:00;900;9;;361.3;1.00;366;229.0;1.66;339;11;88
07:15:00;900;10;;373.5;1.40;537;229.8;2.28;498;11;120
07:15:00;900;12;;365.8;0.97;356;229.2;1.66;326;12;79
07:15:00;900;6;;361.4;1.39;514;229.8;2.23;485;12;121
07:15:00;900;11;;364.2;1.32;474;229.3;2.09;436;13;108
07:30:00;900;1;;398.3;2.94;1176;232.4;4.80;1116;13;308
07:30:00;900;2;;429.7;2.62;1132;230.4;4.69;1065;12;278
07:30:00;900;3;;375.6;3.05;1151;231.4;4.82;1108;14;260
07:30:00;900;4;;192.3;0.00;0;230.6;0.00;0;12;0
07:30:00;900;5;;402.0;2.89;1190;231.9;4.98;1143;11;269
07:30:00;900;7;;373.0;1.77;673;231.8;2.87;642;11;147
07:30:00;900;8;;364.7;2.75;1003;231.3;4.26;952;11;200
07:30:00;900;9;;374.9;2.29;850;230.7;3.62;808;12;184
07:30:00;900;10;;392.8;3.28;1317;231.2;5.43;1250;12;291
07:30:00;900;12;;403.8;2.88;1209;230.7;5.08;1150;14;279
07:30:00;900;6;;390.0;2.93;1181;231.6;4.93;1131;13;274
07:30:00;900;11;;388.1;2.77;1088;231.2;4.52;1023;14;288
07:45:00;900;1;;438.3;6.26;2753;235.3;11.19;2637;14;706
07:45:00;900;2;;459.0;6.27;2855;233.8;11.64;2718;13;729
07:45:00;900;3;;427.7;6.57;2805;234.8;11.51;2706;15;715
07:45:00;900;4;;255.5;0.00;0;233.1;0.00;0;12;0
07:45:00;900;5;;445.3;6.80;3045;235.3;12.56;2955;12;725
07:45:00;900;7;;383.4;6.03;2313;234.3;9.67;2231;12;541
07:45:00;900;8;;402.3;6.44;2572;234.2;10.50;2461;12;591
07:45:00;900;9;;391.6;6.07;2344;234.0;9.82;2258;13;546
07:45:00;900;10;;444.7;6.40;2858;233.8;11.67;2731;14;697
07:45:00;900;12;;445.6;6.00;2684;234.0;11.01;2567;15;683
07:45:00;900;6;;442.2;6.21;2766;235.2;11.27;2657;15;627
07:45:00;900;11;;441.7;6.05;2681;233.9;10.92;2547;15;683
08:00:00;900;1;;442.7;8.78;3900;235.8;15.82;3735;15;868
08:00:00;900;2;;462.1;8.24;3794;234.5;15.43;3616;14;880
08:00:00;900;3;;442.8;7.97;3519;235.3;14.37;3388;16;868
08:00:00;900;4;;;;;;;;;
08:00:00;900;5;;401.3;8.63;3445;235.8;14.24;3351;13;785
08:00:00;900;7;;439.5;7.69;3397;235.1;13.88;3264;13;822
08:00:00;900;8;;443.2;8.18;3628;234.9;14.74;3466;14;859
08:00:00;900;9;;432.9;8.13;3537;234.9;14.43;3390;14;828
08:00:00;900;10;;452.5;8.29;3719;234.1;15.17;3556;15;893
08:00:00;900;12;;440.7;8.68;3828;234.7;15.66;3667;16;884
08:00:00;900;6;;434.5;8.03;3487;236.1;14.23;3368;16;894
08:00:00;900;11;;444.3;8.55;3812;234.4;15.46;3627;16;842
08:15:00;900;1;;440.9;12.46;5489;238.9;21.99;5259;17;1332
08:15:00;900;2;;469.1;12.29;5767;238.4;23.10;5495;16;1410
08:15:00;900;3;;437.5;12.43;5433;239.2;21.88;5233;17;1328
08:15:00;900;4;;;;;;;;;
08:15:00;900;5;;477.5;10.03;4786;239.3;19.52;4664;14;1013
08:15:00;900;7;;442.0;11.81;5216;238.3;21.07;5016;15;1221
08:15:00;900;8;;441.0;12.05;5310;238.6;21.31;5076;15;1234
08:15:00;900;9;;433.3;11.74;5083;238.4;20.52;4884;16;1206
08:15:00;900;10;;444.0;12.04;5346;237.1;21.56;5118;17;1270
08:15:00;900;12;;439.9;11.96;5254;237.9;21.21;5032;17;1266
08:15:00;900;6;;475.3;10.06;4779;239.5;19.12;4584;17;1096
08:15:00;900;11;;441.6;12.29;5425;238.2;21.78;5175;18;1311
08:30:00;900;1;;433.5;6.91;3042;236.7;12.18;2905;18;768
08:30:00;900;2;;450.4;7.00;3254;235.5;13.06;3097;18;800
08:30:00;900;3;;425.0;6.53;2832;235.9;11.41;2720;18;750
08:30:00;900;4;;;;;;;;;
08:30:00;900;5;;446.1;6.17;2896;237.4;11.78;2826;15;822
08:30:00;900;7;;420.3;6.99;3030;236.3;12.20;2906;16;749
08:30:00;900;8;;420.6;6.83;2965;236.1;11.91;2827;17;757
08:30:00;900;9;;405.9;7.12;2978;235.6;12.00;2853;17;733
08:30:00;900;10;;413.5;7.14;3081;235.3;12.41;2944;18;774
08:30:00;900;12;;427.7;7.34;3208;235.8;12.98;3070;18;749
08:30:00;900;6;;451.8;6.21;2952;237.5;11.93;2857;18;667
08:30:00;900;11;;415.8;7.01;3000;235.9;12.04;2851;19;749
08:45:00;900;1;;419.4;7.18;3064;240.6;12.16;2938;18;715
08:45:00;900;2;;461.4;7.11;3337;239.1;13.23;3177;17;768
08:45:00;900;3;;428.5;7.00;3014;240.3;12.04;2909;18;648
08:45:00;900;4;;;;;;;;;
08:45:00;900;5;;441.2;5.61;2502;240.2;10.17;2445;14;583
08:45:00;900;7;;426.3;11.13;4838;241.2;19.23;4649;16;1095
08:45:00;900;8;;426.4;11.43;4938;240.8;19.56;4726;17;1120
08:45:00;900;9;;416.2;11.33;4773;240.6;18.97;4578;17;1094
08:45:00;900;10;;435.9;11.42;5040;240.0;20.00;4818;18;1150
08:45:00;900;12;;425.3;11.40;4893;239.8;19.50;4685;18;1144
08:45:00;900;6;;413.4;5.53;2348;239.6;9.38;2262;18;590
08:45:00;900;11;;424.9;11.51;4974;239.8;19.72;4743;19;1154
09:00:00;900;1;;430.8;10.66;4579;242.7;17.98;4371;18;1019
09:00:00;900;2;;483.9;9.95;4783;241.6;18.68;4531;18;1102
09:00:00;900;3;;439.8;10.34;4590;242.3;18.15;4409;18;1096
09:00:00;900;4;;;;;;;;;
09:00:00;900;5;;444.5;5.57;2554;242.0;10.14;2457;15;674
09:00:00;900;7;;459.6;8.21;3776;241.6;14.96;3628;17;954
09:00:00;900;8;;442.5;9.33;4137;241.7;16.30;3952;18;1011
09:00:00;900;9;;451.1;8.66;3958;241.4;15.61;3788;18;917
09:00:00;900;10;;441.6;9.39;4194;241.0;16.59;4013;19;1028
09:00:00;900;12;;451.6;9.08;4111;241.3;16.27;3927;19;965
09:00:00;900;6;;460.3;4.54;2116;241.4;8.42;2044;18;614
09:00:00;900;11;;442.5;9.55;4261;241.5;16.74;4043;20;977
09:15:00;900;1;;463.7;10.32;4765;242.6;18.70;4561;19;1102
09:15:00;900;2;;499.2;10.16;5039;241.3;19.77;4798;18;1159
09:15:00;900;3;;449.4;11.05;4970;242.7;19.62;4778;19;1140
09:15:00;900;4;;;;;;;;;
09:15:00;900;5;;476.4;8.31;4029;243.1;15.90;3876;14;839
09:15:00;900;7;;449.9;10.04;4421;241.7;17.43;4240;17;1132
09:15:00;900;8;;453.2;9.88;4439;241.6;17.46;4238;18;1129
09:15:00;900;9;;449.1;10.18;4525;241.7;17.83;4335;18;1172
09:15:00;900;10;;452.2;10.80;4884;240.9;19.35;4681;19;1207
09:15:00;900;12;;449.8;11.52;5180;242.0;20.46;4954;19;1199
09:15:00;900;6;;483.6;8.64;4211;243.9;16.51;4030;17;829
09:15:00;900;11;;445.9;11.24;4992;241.6;19.60;4754;20;1217
09:30:00;900;1;;432.4;13.01;5646;244.5;22.01;5396;20;1344
09:30:00;900;2;;469.5;12.49;5878;243.4;22.82;5590;20;1427
09:30:00;900;3;;426.3;12.21;5259;244.3;20.58;5066;20;1330
09:30:00;900;4;;;;;;;;;
09:30:00;900;5;;462.5;7.89;3685;244.8;14.62;3580;15;879
09:30:00;900;7;;424.2;12.26;5222;243.8;20.45;5016;19;1271
09:30:00;900;8;;438.7;12.43;5492;243.8;21.35;5237;19;1268
09:30:00;900;9;;432.7;12.17;5271;243.9;20.56;5046;19;1248
