[info]
Anlage=Maris Kalogerakis Sitanos
Datum=120121
[messung]
;s;Adresse;KPC;U_DC_0;I_DC_0;P_DC_WR;U_AC_0;I_AC_0;P_AC_WR;T_WR;E_D_WR
;s;;%;V;A;W;V;A;W;°C;Wh
[Start]
02:30:00;300;8;;;;;;;;;
02:30:00;300;9;;;;;;;;;
02:30:00;300;10;;;;;;;;;
02:30:00;300;11;;;;;;;;;
02:30:00;300;12;;;;;;;;;
02:35:00;300;1;;;;;;;;;
02:35:00;300;2;;;;;;;;;
02:35:00;300;3;;;;;;;;;
02:35:00;300;4;;;;;;;;;
02:35:00;300;5;;;;;;;;;
02:35:00;300;6;;;;;;;;;
02:35:00;300;7;;;;;;;;;
02:35:00;300;8;;;;;;;;;
02:35:00;300;9;;;;;;;;;
02:35:00;300;10;;;;;;;;;
02:35:00;300;11;;;;;;;;;
02:35:00;300;12;;;;;;;;;
02:40:00;300;1;;;;;;;;;
02:40:00;300;2;;;;;;;;;
02:40:00;300;3;;;;;;;;;
02:40:00;300;4;;;;;;;;;
02:40:00;300;5;;;;;;;;;
02:40:00;300;6;;;;;;;;;
02:40:00;300;7;;;;;;;;;
02:40:00;300;8;;;;;;;;;
02:40:00;300;9;;;;;;;;;
02:40:00;300;10;;;;;;;;;
02:40:00;300;11;;;;;;;;;
02:40:00;300;12;;;;;;;;;
02:45:00;300;1;;;;;;;;;
02:45:00;300;2;;;;;;;;;
02:45:00;300;3;;;;;;;;;
02:45:00;300;4;;;;;;;;;
02:45:00;300;5;;;;;;;;;
02:45:00;300;6;;;;;;;;;
02:45:00;300;7;;;;;;;;;
02:45:00;300;8;;;;;;;;;
02:45:00;300;9;;;;;;;;;
02:45:00;300;10;;;;;;;;;
02:45:00;300;11;;;;;;;;;
02:45:00;300;12;;;;;;;;;
02:50:00;300;1;;;;;;;;;
02:50:00;300;2;;;;;;;;;
02:50:00;300;3;;;;;;;;;
02:50:00;300;4;;;;;;;;;
02:50:00;300;5;;;;;;;;;
02:50:00;300;6;;;;;;;;;
02:50:00;300;7;;;;;;;;;
02:50:00;300;8;;;;;;;;;
02:50:00;300;9;;;;;;;;;
02:50:00;300;10;;;;;;;;;
02:50:00;300;11;;;;;;;;;
02:50:00;300;12;;;;;;;;;
02:55:00;300;1;;;;;;;;;
02:55:00;300;2;;;;;;;;;
02:55:00;300;3;;;;;;;;;
02:55:00;300;4;;;;;;;;;
02:55:00;300;5;;;;;;;;;
02:55:00;300;6;;;;;;;;;
02:55:00;300;7;;;;;;;;;
02:55:00;300;8;;;;;;;;;
02:55:00;300;9;;;;;;;;;
02:55:00;300;10;;;;;;;;;
02:55:00;300;11;;;;;;;;;
02:55:00;300;12;;;;;;;;;
03:00:00;300;1;;;;;;;;;
03:00:00;300;2;;;;;;;;;
03:00:00;300;3;;;;;;;;;
03:00:00;300;4;;;;;;;;;
03:00:00;300;5;;;;;;;;;
03:00:00;300;6;;;;;;;;;
03:00:00;300;7;;;;;;;;;
03:00:00;300;8;;;;;;;;;
03:00:00;300;9;;;;;;;;;
03:00:00;300;10;;;;;;;;;
03:00:00;300;11;;;;;;;;;
03:00:00;300;12;;;;;;;;;
03:05:00;300;1;;;;;;;;;
03:05:00;300;2;;;;;;;;;
03:05:00;300;3;;;;;;;;;
03:05:00;300;4;;;;;;;;;
03:05:00;300;5;;;;;;;;;
03:05:00;300;6;;;;;;;;;
03:05:00;300;7;;;;;;;;;
03:05:00;300;8;;;;;;;;;
03:05:00;300;9;;;;;;;;;
03:05:00;300;10;;;;;;;;;
03:05:00;300;11;;;;;;;;;
03:05:00;300;12;;;;;;;;;
03:10:00;300;1;;;;;;;;;
03:10:00;300;2;;;;;;;;;
03:10:00;300;3;;;;;;;;;
